         31874 function calls (31325 primitive calls) in 0.048 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      222    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_iterator}
        3    0.000    0.000    0.000    0.000 {method '_rebuild_blknos_and_blklocs' of 'pandas._libs.internals.BlockManager' objects}
        6    0.000    0.000    0.000    0.000 concat.py:389(is_na)
      252    0.000    0.000    0.000    0.000 {pandas._libs.algos.ensure_platform_int}
        2    0.000    0.000    0.000    0.000 {built-in method torch.arange}
       75    0.000    0.000    0.000    0.000 __init__.py:43(using_pyarrow_string_dtype)
       78    0.000    0.000    0.000    0.000 _dtype.py:24(_kind_name)
       76    0.000    0.000    0.000    0.000 __init__.py:33(using_copy_on_write)
       36    0.000    0.000    0.000    0.000 inference.py:195(is_array_like)
       72    0.000    0.000    0.000    0.000 common.py:1107(<lambda>)
       36    0.000    0.000    0.000    0.000 take.py:326(_get_take_nd_function)
        2    0.000    0.000    0.000    0.000 {method 'unbind' of 'torch._C._TensorBase' objects}
        4    0.000    0.000    0.000    0.000 blocks.py:2375(new_block_2d)
      111    0.000    0.000    0.000    0.000 base.py:973(dtype)
        1    0.000    0.000    0.000    0.000 base.py:1242(copy)
        4    0.000    0.000    0.000    0.000 generic.py:760(_set_axis)
       72    0.000    0.000    0.000    0.000 indexing.py:289(loc)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
      222    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
      159    0.000    0.000    0.000    0.000 generic.py:393(flags)
       73    0.000    0.000    0.000    0.000 common.py:126(_classes_and_not_datetimelike)
       86    0.000    0.000    0.000    0.000 blocks.py:583(dtype)
       26    0.000    0.000    0.000    0.000 managers.py:2124(_grouping_func)
        2    0.000    0.000    0.000    0.000 concat.py:542(<listcomp>)
      108    0.000    0.000    0.000    0.000 indexing.py:915(<genexpr>)
       76    0.000    0.000    0.000    0.000 generic.py:659(ndim)
        1    0.000    0.000    0.000    0.000 base.py:2292(is_unique)
        5    0.000    0.000    0.000    0.000 managers.py:896(__init__)
        1    0.000    0.000    0.000    0.000 series.py:6131(any)
        1    0.000    0.000    0.000    0.000 base_parser.py:114(__init__)
      123    0.000    0.000    0.000    0.000 blocks.py:239(mgr_locs)
      112    0.000    0.000    0.000    0.000 base.py:1656(name)
        1    0.000    0.000    0.000    0.000 readers.py:1455(_get_options_with_defaults)
        3    0.000    0.000    0.000    0.000 managers.py:2194(_stack_arrays)
        7    0.000    0.000    0.000    0.000 numerictypes.py:357(issubdtype)
        1    0.000    0.000    0.000    0.000 common.py:145(is_url)
        1    0.000    0.000    0.000    0.000 range.py:134(__new__)
       36    0.000    0.000    0.000    0.000 {built-in method torch._C._log_api_usage_once}
        4    0.000    0.000    0.000    0.000 series.py:703(name)
       36    0.000    0.000    0.000    0.000 indexing.py:966(_validate_key_length)
        1    0.000    0.000    0.000    0.000 managers.py:278(get_dtypes)
        5    0.000    0.000    0.000    0.000 cast.py:1544(construct_1d_object_array_from_listlike)
        7    0.000    0.000    0.000    0.000 blocks.py:2317(maybe_coerce_values)
        3    0.000    0.000    0.000    0.000 missing.py:466(array_equivalent)
        1    0.000    0.000    0.000    0.000 managers.py:918(_verify_integrity)
       69    0.000    0.000    0.000    0.000 {pandas._libs.lib.dtypes_all_equal}
        1    0.000    0.000    0.000    0.000 managers.py:540(copy)
       44    0.000    0.000    0.000    0.000 managers.py:1960(internal_values)
